String 1,String 2,Start Phrase
 ಅವನು ದೊಡ್ಡದಾಗಿದ್ದಾನೆ, ಅವನು ದೊಡ್ಡದಾಗಿಲ್ಲ, ಅವನು ( ಆನೆಯಂತೆ /ಇರುವೆಯಂತೆ) ದೊಡ್ಡದಾಗಿದ್ದಾನೆ
ಆಕೆ ಪೂಜ್ಯನೀಯವಾಗಿರುವಳು,ಆಕೆ ಪೂಜ್ಯನೀಯವಾಗಿಲ್ಲ,ಆಕೆ (ದೇವತೆಯಂತೆ/ ದೆವ್ವದಂತೆ )ಪೂಜ್ಯನೀಯವಾಗಿರುವಳು
  ಆ ಕಟ್ಟಡವು  ಐಷಾರಾಮಿಯಾಗಿದೆ,  ಆ ಕಟ್ಟಡವು  ಐಷಾರಾಮಿಯಾಗಿಲ್ಲ, ಆ ಕಟ್ಟಡವು (ಬಂಗಲೆಯಂತೆ /ಗುಡಿಸಲಿನಂತೆ) ಐಷಾರಾಮಿಯಾಗಿದೆ
ಈ ಹಣ್ಣು ರಸಮಯವಾಗಿದೆ,ಈ ಹಣ್ಣು ರಸಮಯವಾಗಿಲ್ಲ,ಈ ಹಣ್ಣು (ಕಬ್ಬಿನಂತೆ/ ಸೀಬೆಯಂತೆ )ರಸಮಯವಾಗಿದೆ
ಅವನು ಶ್ರೀಮಂತ,ಅವನು ಶ್ರೀಮಂತನಲ್ಲ ,ಅವನು ( ಅಂಬಾನಿಯಂತೆ/ಭಿಕ್ಷುಕನಂತೆ)ಶ್ರೀಮಂತ
ಆ ಎಣ್ಣೆ ಸ್ನಿಗ್ಧವಾಗಿದೆ,ಆ ಎಣ್ಣೆ ಸ್ನಿಗ್ಧವಾಗಿಲ್ಲ,ಆ ಎಣ್ಣೆ (ತೆಂಗಿನ ಎಣ್ಣೆಯಷ್ಟು/ ಹರಳೆಣ್ಣೆಯಷ್ಟು) ಸ್ನಿಗ್ಧವಾಗಿದೆ
ಶಕ್ತಿಯು  ಅನಿಯಮಿತವಾಗಿದೆ,ಶಕ್ತಿಯು  ಅನಿಯಮಿತವಾಗಿಲ್ಲ,ಶಕ್ತಿಯು (ಸೂರ್ಯನ ಶಕ್ತಿಯಂತೆ/ವಿದ್ಯುತ್ ಶಕ್ತಿಯಂತೆ)  ಅನಿಯಮಿತವಾಗಿದೆ
 ಅವನು ಪ್ರಾಮಾಣಿಕ ಗುಣ ಹೊಂದಿದ್ದನು.,ಅವನು ಪ್ರಾಮಾಣಿಕ ಗುಣ ಹೊಂದಿಲ್ಲ,ಅವನು (ನಾಯಿಯಂತೆ/ ನರಿಯಂತೆ )ಪ್ರಾಮಾಣಿಕ ಗುಣ ಹೊಂದಿದ್ದನು.
ಆಕೆ ಮಹೊನ್ನತವಾಗಿದ್ದಾಳೆ,ಆಕೆ ಮಹೊನ್ನತವಾಗಿಲ್ಲ,ಆಕೆ (ಟಾಪರ್ ನಷ್ಟು/ಸಾಮಾನ್ಯ ವಿದ್ಯಾರ್ಥಿಯಷ್ಟು) ಮಹೊನ್ನತವಾಗಿದ್ದಾಳೆ
 ಅವನು ಪ್ರಾಯೋಗಿಕ ವ್ಯಕ್ತಿ, ಅವನು ಪ್ರಾಯೋಗಿಕ ವ್ಯಕ್ತಿಯಲ್ಲ,ಅವನು (ವಿಜ್ನಾನಿಯಷ್ಟು/ ಕವಿಯಷ್ಟು) ಪ್ರಾಯೋಗಿಕ ವ್ಯಕ್ತಿ
 ಆ ಹರಳು  ಬೆಲೆಬಾಳುವಂತದ್ದು, ಆ ಹರಳು  ಬೆಲೆಬಾಳುವಂತದ್ದಲ್ಲ,ಆ ಹರಳು (ರತ್ನದಂತೆ/ಕಲ್ಲಿನಂತೆ) ಬೆಲೆಬಾಳುವಂತದ್ದು
 ಅದು ಬಿಳುಪಾಗಿತ್ತು, ಅದು ಬಿಳುಪಾಗಿಲ್ಲ,ಅದು ( ಬೆಳ್ಳನೆಯ ಮೋಡದಂತೆ/ಕಪ್ಪು ಹಲಗೆಯಂತೆ) ಬಿಳುಪಾಗಿತ್ತು
 ಅವಳು ತಾಜಾವಾಗಿದ್ದಾಳೆ,ಅವಳು ತಾಜಾವಾಗಿಲ್ಲ, ಅವಳು( ಹೂವಿನಷ್ಟು/ ಒಣಗಿದ ಎಲೆಯಷ್ಟು) ತಾಜಾವಾಗಿದ್ದಾಳೆ
 ಅವನು ಆಕರ್ಷಕ ದೇಹವನ್ನು ಹೊಂದಿದ್ದಾನೆ, ಅವನು ಆಕರ್ಷಕ ದೇಹವನ್ನು ಹೊಂದಿಲ್ಲ,    ಅವನು (ಜಿಮ್ ವ್ಯಕ್ತಿಯಂತೆ/ ಸ್ಥೂಲಕಾಯನಂತೆ )ಆಕರ್ಷಕ ದೇಹವನ್ನು ಹೊಂದಿದ್ದಾನೆ
ಅವಳು ಸುಂದರವಾಗಿರುವಳು,ಅವಳು ಸುಂದರವಾಗಿಲ್ಲ, ಅವಳು (ಬಾರ್ಬಿಯಂತೆ /ಮಿಕ್ಕಿಯಂತೆ) ಸುಂದರವಾಗಿರುವಳು
  ಆ ನೀರು ಶುಚಿಯಾಗಿದೆ, ಆ ನೀರು ಶುಚಿಯಾಗಿಲ್ಲ,ಆ ನೀರು( ಫಿಲ್ಟರ್ ನೀರಿನಂತೆ/ಕೊಚ್ಚೆ ನೀರಿನಂತೆ) ಶುಚಿಯಾಗಿದೆ
ಆತನು ಹುಡುಗಾಟಿಕೆ ಬುದ್ದಿಯವನು,ಆತನು ಹುಡುಗಾಟಿಕೆ ಬುದ್ದಿಯವನಲ್ಲ,ಆತನು (ಮಗುವಿನಂತೆ/ ವಯಸ್ಕನಂತೆ) ಹುಡುಗಾಟಿಕೆ ಬುದ್ದಿಯವನು
ಅವನು ಹಾಸ್ಯಾಸ್ಪದವಾಗಿದ್ದನು,ಅವನು ಹಾಸ್ಯಾಸ್ಪದವಾಗಿಲ್ಲ,  ಅವನ ( ಹಾಸ್ಯಗಾರನಂತೆ/ಪ್ರಾಧ್ಯಾಪಕನಂತೆ) ಹಾಸ್ಯಾಸ್ಪದವಾಗಿದ್ದನು
ಆ ತಿಂಡಿ ಮೃದುವಾಗಿದೆ,ಆ ತಿಂಡಿ ಮೃದುವಾಗಿಲ್ಲ,ಆ ತಿಂಡಿ (ಡೊನಟ್ ನಂತೆ/ ಸ್ಮೂತಿಯಂತೆ )ಮೃದುವಾಗಿದೆ
ಆ ಸಂಗೀತವು ಕೇಳಲು ಇಂಪಾಗಿದೆ,ಆ ಸಂಗೀತವು ಕೇಳಲು ಇಂಪಾಗಿಲ್ಲ,ಆ ಸಂಗೀತವು ಕೇಳಲು (ಇಂಪಾಗಿದೆ/ ಕರ್ಕಶವಾಗಿದೆ)
 ಅವನು ಸಣ್ಣಗಿದ್ದಾನೆ, ಅವನು ಸಣ್ಣಗಿಲ್ಲ, ಅವನು (ಬೊಜ್ಜಿನ ಮನುಷ್ಯನಂತೆ /ತೆಳ್ಳಗಿನ ಮನುಷ್ಯನಂತೆ) ಸಣ್ಣಗಿದ್ದಾನೆ
ಈ ಆಟವು ಸಾಹಸಮಯವಾಗಿದೆ,ಈ ಆಟವು ಸಾಹಸಮಯವಾಗಿಲ್ಲ,ಈ ಆಟವು (ಸ್ಕೂಬಾ ದಂತೆ/ ಈಜಿನಂತೆ) ಸಾಹಸಮಯವಾಗಿದೆ
ಆಕೆಯು ಸರಳವಾಗಿರುವಳು,ಆಕೆಯು ಸರಳವಾಗಿಲ್ಲ,ಆಕೆಯು (ಗೃಹಿಣಿಯಂತೆ/ ಮಾಡೆಲ್ ನಂತೆ )ಸರಳವಾಗಿರುವಳು
ಆ ಪ್ರಾಣಿಯು ಉದ್ದವಾಗಿದೆ,ಆ ಪ್ರಾಣಿಯು ಉದ್ದವಾಗಿಲ್ಲ,ಆ ಪ್ರಾಣಿಯು ( ಹಾವಿನಂತೆ /ಹಲ್ಲಿಯಂತೆ) ಉದ್ದವಾಗಿದೆ
ಅದು ತಟಸ್ತವಾಗಿದೆ,ಅದು ತಟಸ್ತವಾಗಿಲ್ಲ,ಅದು (ಮೋಡದಂತೆ/ ಬಂಡೆಯಂತೆ) ತಟಸ್ತವಾಗಿದೆ
ವಾತಾವರಣವೂ ತಣ್ಣಗಿದೆ,ವಾತಾವರಣವೂ ತಣ್ಣಗಿಲ್ಲ,ವಾತಾವರಣವೂ ( ಚಳಿಗಾಲದಂತೆ / ಬೇಸಿಗೆಯಂತೆ) ತಣ್ಣಗಿದೆ
ವಾತಾವರಣವೂ ಬೆಚ್ಚಗಿದೆ,ವಾತಾವರಣವೂ ಬೆಚ್ಚಗಿಲ್ಲ,ವಾತಾವರಣವೂ (ಬೇಸಿಗೆಯಂತೆ /ಮಳೆಗಾಲದಂತೆ )ಬೆಚ್ಚಗಿದೆ
ಆ ಹುಡುಗ  ಉದ್ದವಿದ್ದಾನೆ,ಆ ಹುಡುಗ  ಉದ್ದವಿಲ್ಲ, ಆ ಹುಡುಗ (ಜಿರಾಫೆಯಂತೆ/ ಜಿಂಕೆಯಂತೆ) ಉದ್ದವಿದ್ದಾನೆ
ಆ ಸಿನಿಮಾ ನೇರವಾದ ಕಥೆಯನ್ನು ಹೊಂದಿದೆ,ಆ ಸಿನಿಮಾ ನೇರವಾದ ಕಥೆಯನ್ನು ಹೊಂದಿಲ್ಲ,ಆ ಸಿನಿಮಾ (ಲವ್ ಸ್ಟೋರಿ ಯಂತೆ /ಸಸ್ಪೆನ್ಸ್ ಥ್ರಿಲ್ಲರ್ನಂತೆ) ನೇರವಾದ ಕಥೆಯನ್ನು ಹೊಂದಿದೆ
 ಅವನ ಕಣ್ಣುಗಳು ನೀಲಿ ಆಗಿದೆ, ಅವನ ಕಣ್ಣುಗಳು ನೀಲಿ ಆಗಿಲ್ಲ, ಅವನ ಕಣ್ಣುಗಳು (ಆಕಾಶದಂತೆ/ ಚಂದಿರನಂತೆ) ನೀಲಿ ಆಗಿದೆ
ಸೈನಿಕರ ತೋಳು  ಗಟ್ಟಿಯಾಗಿದೆ,ಸೈನಿಕರ ತೋಳು  ಗಟ್ಟಿಯಾಗಿಲ್ಲ,ಸೈನಿಕರ ತೋಳು (ಕಬ್ಬಿಣದಂತೆ /ಪ್ಲಾಸ್ಟಿಕ್ ನಂತೆ) ಗಟ್ಟಿಯಾಗಿದೆ
ಈ ವಸ್ತುವೂ  ಸುಮಧುರ ವಾಸನೆ ಹೊಂದಿದೆ,ಈ ವಸ್ತುವೂ  ಸುಮಧುರ ವಾಸನೆ ಹೊಂದಿಲ್ಲ, ಈ ವಸ್ತುವೂ (ಹೂವಿನಂತೆ/ ಪ್ರಾಣಿಯಂತೆ) ಸುಮಧುರ ವಾಸನೆ ಹೊಂದಿದೆ
 ಬ್ರಹ್ಮಾಂಡವು ಅಗಣಿತ ನಕ್ಷತ್ರಗಳನ್ನು ಹೊಂದಿದೆ, ಬ್ರಹ್ಮಾಂಡವು ಅಗಣಿತ ನಕ್ಷತ್ರಗಳನ್ನು ಹೊಂದಿಲ್ಲ,ಬ್ರಹ್ಮಾಂಡವು ಅಗಣಿತ (ನಕ್ಷತ್ರ/ ಗ್ರಹ)ಗಳನ್ನು ಹೊಂದಿದೆ
ಅವನು ಕೆಲಸದಲ್ಲಿ ಏಕಾಗ್ರತೆ ಹೊಂದಿದ್ದಾನೆ,ಅವನು ಕೆಲಸದಲ್ಲಿ ಏಕಾಗ್ರತೆ ಹೊಂದಿಲ್ಲ,ಅವನು ಕೆಲಸದಲ್ಲಿ (ಕುದುರೆಯಂತೆ /ಎಮ್ಮೆಯಂತೆ )ಏಕಾಗ್ರತೆ ಹೊಂದಿದ್ದಾನೆ
 ಅದರ ಬಣ್ಣ ಬಿಳಿಯಾಗಿದೆ, ಅದರ ಬಣ್ಣ ಬಿಳಿಯಾಗಿಲ್ಲ,ಅದರ ಬಣ್ಣ (ಹಾಲಿನಂತೆ /ನೀರಿನಂತೆ) ಬಿಳಿಯಾಗಿದೆ
ಅವರು ಬಣ್ಣ ಬದಲಿಸುತ್ತಾರೆ,ಅವರು ಬಣ್ಣ ಬದಲಿಸಲ್ಲ,ಅವರು (ಊಸರವಳ್ಳಿಯಂತೆ /ಹಾವಿನಂತೆ) ಬಣ್ಣ ಬದಲಿಸುತ್ತಾರೆ
 ಆ ಕಟ್ಟಡವು ಸುಂದರವಾಗಿದೆ, ಆ ಕಟ್ಟಡವು ಸುಂದರವಾಗಿಲ್ಲ, ಆ ಕಟ್ಟಡವು (ತಾಜ್ ಮಹಲ್ನಂತೆ/ ಕೆಡವಿದ ಅರಮನೆಯಂತೆ )ಸುಂದರವಾಗಿದೆ
ಆ ರಸ್ತೆಯು ನೇರವಾಗಿದೆ,ಆ ರಸ್ತೆಯು ನೇರವಾಗಿಲ್ಲ, ಆ ರಸ್ತೆಯು  (ಹೆದ್ದಾರಿಯಂತೆ/ ಹಿಲ್ ಸ್ಟೇಷನಂತೆ )ನೇರವಾಗಿದೆ
ಆ ರಸ್ತೆಯು ತಿರುವುಗಳನ್ನು ಹೊಂದಿದೆ,ಆ ರಸ್ತೆಯು ತಿರುವುಗಳನ್ನು ಹೊಂದಿಲ್ಲ, ಆ ರಸ್ತೆಯು ( ಹಿಲ್ ಸ್ಟೇಷನಂತೆ/ ಹೆದ್ದಾರಿಯಂತೆ) ತಿರುವುಗಳನ್ನು ಹೊಂದಿದೆ
ಹೂಡಿಕೆಯು ಅಪಾಯಕಾರಿ,ಹೂಡಿಕೆಯು ಅಪಾಯಕಾರಿಯಲ್ಲ,ಹೂಡಿಕೆಯು  (ಸ್ಟಾಕ್ ಮಾರ್ಕೆಟ್ ನಲ್ಲಿ /ಫಿಕ್ಸಡ್ ಡೆಪಾಸಿಟ್) ನಲ್ಲಿ ಅಪಾಯಕಾರಿ
ಕಾಫಿ ಬಿಸಿಯಾಗಿತ್ತು,ಕಾಫಿ ತಣ್ಣಗೆ ಇತ್ತು,ಕಾಫಿ ( ಬಿಸಿಯಾಗಿ/ ತಣ್ಣಗೆ )ಇತ್ತು
ಕೋಲಿನ ಎತ್ತರ ಉದ್ದವಾಗಿ ಇತ್ತು,ಕೋಲಿನ ಎತ್ತರ ತುಂಡವಾಗಿ ಇತ್ತು,ಕೋಲಿನ ಎತ್ತರ( ಉದ್ದವಾಗಿ /ತುಂಡವಾಗಿ) ಇತ್ತು
  ಹಳ್ಳಿಯ ಮನೆ ತುಂಬಾ ದೊಡ್ಡದಾಗಿ ಇದೆ,  ಹಳ್ಳಿಯ ಮನೆ ತುಂಬಾ ಚಿಕ್ಕದಾಗಿ ಇದೆ, ಹಳ್ಳಿಯ ಮನೆ ತುಂಬಾ (ದೊಡ್ಡದಾಗಿ/ ಚಿಕ್ಕದಾಗಿ )ಇದೆ
ಕ್ರಿಕೆಟ್ ಆಟ ತುಂಬಾ ಸುಲಭ,ಕ್ರಿಕೆಟ್ ಆಟ ತುಂಬಾ ಕಷ್ಟ, ಕ್ರಿಕೆಟ್ ಆಟ ತುಂಬಾ (ಸುಲಭ /ಕಷ್ಟ)
 ಚೆಸ್ ಆಡಲು ಜಾಸ್ತಿ ಬುದ್ಧಿವಂತಿಕೆ ಬೇಕು, ಚೆಸ್ ಆಡಲು ಕಡಿಮೆ ಬುದ್ಧಿವಂತಿಕೆ ಬೇಕು, ಚೆಸ್ ಆಡಲು (ಜಾಸ್ತಿ/ ಕಡಿಮೆ) ಬುದ್ಧಿವಂತಿಕೆ ಬೇಕು
ಆ ಪೇಂಟಿಂಗ್ ನ ಬಣ್ಣಗಳು ಸುಂದರವಾಗಿತ್ತು ,ಆ ಪೇಂಟಿಂಗ್ ನ ಬಣ್ಣಗಳು ಸುಂದರವಾಗಿಲ್ಲ,ಆ ಪೇಂಟಿಂಗ್ ನ ಬಣ್ಣಗಳು (ಸುಂದರವಾಗಿತ್ತು /ಕುರೂಪವಾಗಿತ್ತು).
ಸಿನಿಮಾದಲ್ಲಿ ಒಳ್ಳೆಯ ಸಂದೇಶವಿತ್ತು,ಸಿನಿಮಾದಲ್ಲಿ ಒಳ್ಳೆಯ ಸಂದೇಶವಿಲ್ಲ,ಸಿನಿಮಾದಲ್ಲಿ (ಒಳ್ಳೆಯ/ ಕೆಟ್ಟ) ಸಂದೇಶವಿತ್ತು
ಹಾಡಿನ ಸಂಗೀತ ಸುಮಧುರವಾಗಿತ್ತು ,ಹಾಡಿನ ಸಂಗೀತ ಸುಮಧುರವಾಗಿಲ್ಲ,ಹಾಡಿನ (ಸಂಗೀತ /ಸುಮಧುರ) ಕರ್ಕಶ ಆಗಿತ್ತು
 ಜಾತ್ರೆಯಲ್ಲಿ ಹೆಚ್ಚು ಆಟಗಳಿದ್ದವು, ಜಾತ್ರೆಯಲ್ಲಿ ಕಡಿಮೆ ಆಟಗಳಿದ್ದವು, ಜಾತ್ರೆಯಲ್ಲಿ ಮಕ್ಕಳಿಗಾಗಿ (ಹೆಚ್ಚು/ ಕಡಿಮೆ) ಆಟಗಳಿದ್ದವು
ಅವನ ಭಾಷಣ ಜನರನ್ನುಸೆಳೆಯುತ್ತಿತ್ತು,ಅವನ ಭಾಷಣ ಜನರನ್ನು ಸೆಳೆಯಲ್ಲಿಲ್ಲ,ಅವನ ಭಾಷಣ ಜನರನ್ನು (ಉಕ್ಕಿನಂತೆ/ ಪ್ಲಾಸ್ಟಿಕ್ ನಂತೆ) ಸೆಳೆಯುತ್ತಿತ್ತು
ಆ ಪ್ರಾಣಿಯ ನೋಟ ಚುರುಕು,ಆ ಪ್ರಾಣಿಯ ನೋಟ ಚುರುಕಾಗಿಲ್ಲ,ಆ ಪ್ರಾಣಿಯು  (ಚುರುಕಾದ/ ಮೆದೆಯಾದ) ನೋಟ ಹೊಂದಿದೆ
 ಆ ಸಮಸ್ಯೆ ಸುಲಭ, ಆ ಸಮಸ್ಯೆ ಸುಲಭವಾಗಿಲ್ಲ, ಆ ಸಮಸ್ಯೆ( ನೀರು ಕುಡಿದಷ್ಟು/ ಬೆಟ್ಟ ಹತ್ತಿದಷ್ಟು) ಸುಲಭ
ಸಂಗೀತ ಕಾರ್ಯಕ್ರಮವು ಚೆನ್ನಾಗಿತ್ತು,ಸಂಗೀತ ಕಾರ್ಯಕ್ರಮವು ಚೆನ್ನಾಗಿಲ್ಲ,ಸಂಗೀತ ಕಾರ್ಯಕ್ರಮವು (ನಿದ್ದೆ ಬರೆಸುವಷ್ಟು/ ಮತ್ತೆ ಕೇಳಬೇಕೆನಿಸುವಷ್ಟು )ಚೆನ್ನಾಗಿತ್ತು
ಈ ವಾಹನವು ಹೆಚ್ಚು ವೇಗ ಹೊಂದಿದೆ,ಈ ವಾಹನವು ಹೆಚ್ಚು ವೇಗ ಹೊಂದಿಲ್ಲ,ಈ ವಾಹನವು (ರಾಕೆಟ್ ನಂತೆ /ಎತ್ತಿನಗಾಡಿ ಅಂತೆ) ವೇಗ ಹೊಂದಿದೆ
 ಅವನ ಡಾನ್ಸ್ ಆಕರ್ಷಕವಾಗಿತ್ತು, ಅವನ ಡಾನ್ಸ್ ಆಕರ್ಷಕವಾಗಿಲ್ಲ,ಅವನ ಡಾನ್ಸ್ (ಜನರನ್ನುಕುಣಿಸುವಷ್ಟು /ನಿದ್ದೆ ಬರೆಸುವಷ್ಟು) ಆಕರ್ಷಕವಾಗಿತ್ತು
ಆ ವಸ್ತುವಿನ ಬೆಲೆ ದುಬಾರಿ,ಆ ವಸ್ತುವಿನ ಬೆಲೆ ದುಬಾರಿಯಲ್ಲ, ಆ ವಸ್ತುವಿನ ಬೆಲೆ( ಪೆಟ್ರೋಲ್/ ನೀರಿನಂತೆ )ದುಬಾರಿ
ಅವನ ಕೈಬರಹ ಸುಂದರವಾಗಿದೆ,ಅವನ ಕೈಬರಹ ಸುಂದರವಾಗಿಲ್ಲ,ಅವನ ಕೈಬರಹ (ಕಂಪ್ಯೂಟರ್ ಬರಹದಂತೆ/ ಡಾಕ್ಟರ್ ಪ್ರಿಸ್ಕ್ರಿಪ್ಷನ್) ನಂತೆ ಸುಂದರವಾಗಿದೆ
ಆ ಹೂವು ಸುವಾಸನೆ ಬೀರುತಿತ್ತು,ಆ ಹೂವು ಸುವಾಸನೆ ಬೀರಲ್ಲ,ಆ ಹೂವು ( ಸುಗಂಧದಂತೆ/ ತುಂಬೆಯಂತೆ) ಸುವಾಸನೆ ಬೀರುತಿತ್ತು
ಆತನ ಮನಸ್ಸು ಮೃದು,ಆತನ ಮನಸ್ಸು ಮೃದುವಲ್ಲ,   ಆತನ ಮನಸ್ಸು (ಹತ್ತಿ/ಕಲ್ಲು/ )ಅಂತೆ ಮೃದು
ಈ ರೋಗ ಹರಡುತ್ತದೆ,ಈ ರೋಗ ಹರಡುವುದಿಲ್ಲ,    ಈ ರೋಗ (ಕೋವಿಡ್ ನಂತೆ/ಕ್ಯಾನ್ಸರ್ ನಂತೆ) ಹರಡುತ್ತದೆ
ಈ ವಾಹನವು ಶೀಘ್ರ ವಾಗಿ ಚಲಿಸುತ್ತದೆ,ಈ ವಾಹನವು ಶೀಘ್ರ ವಾಗಿ ಚಲಿಸುವುದಿಲ್ಲ,      ಈ ವಾಹನವು (ಫ್ಲೈಟ್/ಎತ್ತಿನಗಾಡಿಯಂತೆ) ಶೀಘ್ರ ವಾಗಿ ಚಲಿಸುತ್ತದೆ.
ಈ ಆಭರಣವು ಏಕಮಾತ್ರವಾಗಿದೆ,ಈ ಆಭರಣವು ಏಕಮಾತ್ರವಾಗಿಲ್ಲ,  ಈ ಆಭರಣವು (ಕೊಹಿನೂರ್ ವಜ್ರದಂತೆ/ ಸಾಮಾನ್ಯ ಒಡವೆಯಂತೆ)  ಏಕಮಾತ್ರವಾಗಿದೆ
ಹೂಡಿಕೆಯು ಚಂಚಲವಾಗಿದೆ,ಹೂಡಿಕೆಯು ಚಂಚಲವಾಗಿಲ್ಲ,   ಹೂಡಿಕೆಯು (ಸ್ಟಾಕ್ ಮಾರ್ಕೆಟ್ ನಂತೆ /ಫಿಕ್ಸೆಡ್ ಡೆಪಾಸಿಟ್ ನಂತೆ) ಚಂಚಲವಾಗಿದೆ
ಈ ವ್ಯಕ್ತಿಯು ಪ್ರಸಿದ್ಧಿಯಾಗಿದ್ದಾನೆ,ಈ ವ್ಯಕ್ತಿಯು ಪ್ರಸಿದ್ಧಿಯಾಗಿಲ್ಲ,   ಈ ವ್ಯಕ್ತಿಯು ( ನಟನಂತೆ/ರೈತನಂತೆ ) ಪ್ರಸಿದ್ಧಿಯಾಗಿದ್ದಾನೆ
ಈ ಭೂಮಿಯು ಫಲವತ್ತತೆಯಾಗಿದೆ,ಈ ಭೂಮಿಯು ಫಲವತ್ತತೆಯಾಗಿಲ್ಲ,   ಈ ಭೂಮಿಯು( ವ್ಯವಸಾಯದ ನೆಲದಂತೆ/ಮರುಭೂಮಿಯಂತೆ ) ಫಲವತ್ತತೆಯಾಗಿದೆ
ಈ ರೋಡ್ ಕಿರಿದಾಗಿದೆ,ಈ ರೋಡ್ ಕಿರಿದಾಗಿಲ್ಲ,  ಈ ರೋಡ್(  ಸುರಂಗದಂತೆ/ಹೈವೇ ಯಂತೆ) ಕಿರಿದಾಗಿದೆ
ಈ ಕೊಳವು ವಿಶಾಲವಾಗಿದೆ,ಈ ಕೊಳವು ವಿಶಾಲವಾಗಿಲ್ಲ,ಈ ಕೊಳವು (ಸಮುದ್ರದಂತೆ/ ಕೆರೆಯಂತೆ) ವಿಶಾಲವಾಗಿದೆ
ಈ ಕಾರ್ಯಕ್ರಮವು ಭಯಾನಕವಾಗಿದೆ,ಈ ಕಾರ್ಯಕ್ರಮವು ಭಯಾನಕವಾಗಿಲ್ಲ,  ಈ ಕಾರ್ಯಕ್ರಮವು (ಮ್ಯಾಜಿಕ್ ನಂತೆ/ ಸರ್ಕಸ್ ನಂತೆ) ಭಯಾನಕವಾಗಿದೆ
ಈ ಅಡುಗೆಯು ಪೋಷಕಾಂಶಗಳನ್ನು ಒಳಗೊಂಡಿದೆ,ಈ ಅಡುಗೆಯು ಪೋಷಕಾಂಶಗಳನ್ನು ಒಳಗೊಂಡಿಲ್ಲ, ಈ ಅಡುಗೆಯು (ರಾಗಿ ಮುದ್ದೆಯಂತೆ/ ಚಪಾತಿಯಂತೆ )ಪೋಷಕಾಂಶಗಳನ್ನು ಒಳಗೊಂಡಿದೆ
ಈ ವಾಹನವು ಎತ್ತರಕ್ಕೆ ಹಾರಬಲ್ಲದು,ಈ ವಾಹನವು ಎತ್ತರಕ್ಕೆ ಹಾರಲ್ಲ, ಈ ವಾಹನವು(  ಫ್ಲೈಟ್ ನಂತೆ/ಹೆಲಿಕ್ಯಾಪ್ಟರ್ ನಂತೆ) ಎತ್ತರಕ್ಕೆ ಹಾರಬಲ್ಲದು
ಈ ವ್ಯಕ್ತಿಯು ತುಂಟನಾಗಿದ್ದಾನೆ,ಈ ವ್ಯಕ್ತಿಯು ತುಂಟನಲ್ಲ, ಈ ವ್ಯಕ್ತಿಯು (ಮಗುವಿನಂತೆ /ಮುದುಕನಂತೆ) ತುಂಟನಾಗಿದ್ದಾನೆ
ಇವರ ಚರ್ಮವು ಮೃದುವಾಗಿದೆ,ಇವರ ಚರ್ಮವು ಮೃದುವಾಗಿಲ್ಲ,ಇವರ ಚರ್ಮವು( ಮಗುವಿನ ಚರ್ಮದಂತೆ /ವಯಸ್ಸಾದವರ ಚರ್ಮದಂತೆ) ಮೃದುವಾಗಿದೆ
ಈ ಕಾರ್ಯಕ್ರಮವು  ಭಯಾನಕವಾಗಿದೆ,ಈ ಕಾರ್ಯಕ್ರಮವು ಭಯಾನಕವಾಗಿಲ್ಲ, ಈ ಕಾರ್ಯಕ್ರಮವು ( ಬ್ಲಾಸ್ಟ್ /ಪಾರ್ಟಿಯಂತೆ) ಭಯಾನಕವಾಗಿದೆ
ಈ ಕಟ್ಟಡವು ಆಲಂಕಾರಿಕವಾಗಿದೆ,ಈ ಕಟ್ಟಡವು ಆಲಂಕಾರಿಕವಾಗಿಲ್ಲ,ಈ ಕಟ್ಟಡವು(  ಅರಮನೆಯಂತೆ/ಸರ್ಕಾರಿ ಕಚೇರಿಯಂತೆ) ಆಲಂಕಾರಿಕವಾಗಿದೆ
ಈ ಆಟವು ದೊಡ್ಡದು,ಈ ಆಟವು ದೊಡ್ಡದಲ್ಲ , ಈ ಆಟವು (ಲೀಗ್ ನಷ್ಟು/ ವರ್ಲ್ಡ್ ಕಪ್ ನಷ್ಟು) ದೊಡ್ಡದು
ಈ ಕಾಯಿಲೆಯು ತುರ್ತಾಗಿಲ್ಲ,ಈ ಕಾಯಿಲೆಯು ತುರ್ತಾಗಿದೆ, ಈ ಕಾಯಿಲೆಯು (ಕೆಮ್ಮಿನಷ್ಟು /ಹೃದಯಾಘಾತದಷ್ಟು) ತುರ್ತಾಗಿದೆ
ಈ ನೃತ್ಯವು ಪ್ರಾಚೀನವಾಗಿದೆ,ಈ ನೃತ್ಯವು ಪ್ರಾಚೀನವಾಗಿಲ್ಲ, ಈ ನೃತ್ಯವು (ಭರತನಾಟ್ಯದಷ್ಟು /ಡಿಸ್ಕೋ ದಷ್ಟು) ಪ್ರಾಚೀನವಾಗಿದೆ
ಈ ಭೇಟಿಯು ನಿರ್ಣಾಯಕವಾಗಿಲ್ಲ,ಈ ಭೇಟಿಯು ನಿರ್ಣಾಯಕವಾಗಿದೆ, ಈ ಭೇಟಿಯು (ಸಾಮಾನ್ಯ ಚೆಕಪ್ ನಷ್ಟು/ ಶಸ್ತ್ರಚಿಕಿತ್ಸೆ ಯಷ್ಟು) ನಿರ್ಣಾಯಕವಾಗಿದೆ
